#{"t_start": 1764495127.950155, "env_id": "dm_control/cartpole-swingup-v0"}
r,l,t
212.33928,1000,10.647
178.670304,1000,20.744444
91.494295,1000,30.13013
194.679324,1000,40.096868
204.424786,1000,50.362465
165.047103,1000,59.85885
151.764635,1000,69.744888
178.991214,1000,80.052995
165.928091,1000,89.891208
182.808112,1000,100.334845
182.5943,1000,110.586432
183.692219,1000,120.259643
265.963239,1000,130.217791
230.364106,1000,140.182813
385.341106,1000,149.513473
190.764932,1000,159.279297
297.541028,1000,169.480542
426.331442,1000,178.853307
568.530472,1000,188.476648
559.187144,1000,198.645324
513.573521,1000,208.18679
625.267841,1000,218.662079
490.876837,1000,229.424021
377.340038,1000,239.864764
327.421053,1000,250.792794
625.197219,1000,261.108331
651.984642,1000,270.571544
661.489365,1000,280.78004
477.221954,1000,290.988287
470.660112,1000,300.536137
592.838062,1000,310.566822
621.91372,1000,320.818651
680.497922,1000,330.298612
650.404562,1000,340.330832
801.068299,1000,350.644822
809.356381,1000,360.24903
829.689557,1000,370.318769
710.333249,1000,380.638586
864.295563,1000,390.13098
777.729713,1000,400.206012
683.574683,1000,410.510537
652.634661,1000,420.210285
658.832768,1000,430.266825
692.138034,1000,440.51749
688.708649,1000,450.033785
821.963899,1000,460.075801
836.368507,1000,470.315531
783.139221,1000,479.888164
663.618765,1000,489.919658
757.502526,1000,500.44165
839.52094,1000,509.938685
759.734262,1000,519.993043
735.995046,1000,530.402053
695.602116,1000,540.143678
576.605785,1000,550.320547
658.058239,1000,560.736981
716.324903,1000,570.324481
755.767655,1000,580.482622
773.01604,1000,590.853299
672.548877,1000,600.620935
649.065688,1000,610.856722
859.549055,1000,621.196881
845.728254,1000,630.896731
812.171774,1000,641.191903
851.434459,1000,651.71189
854.572194,1000,661.722456
851.038332,1000,672.26237
524.371688,1000,682.682078
643.688859,1000,692.617086
848.743026,1000,703.280075
828.757375,1000,713.934708
828.010621,1000,723.647616
835.694802,1000,734.255995
858.191176,1000,744.432442
852.989548,1000,754.109745
828.896035,1000,764.754399
725.655243,1000,774.965229
834.876072,1000,784.764103
715.4457,1000,795.400815
859.063434,1000,805.572288
858.66495,1000,815.422969
820.976836,1000,825.966194
825.863232,1000,836.056715
852.215153,1000,846.088022
843.784598,1000,856.765917
852.65505,1000,866.85411
861.272416,1000,876.930396
857.912621,1000,887.64111
865.520994,1000,897.621489
868.523581,1000,907.714166
855.184717,1000,918.525853
851.154645,1000,928.405187
852.234311,1000,938.608223
859.82361,1000,949.323984
832.374489,1000,959.34804
746.772326,1000,969.586001
831.555285,1000,980.226727
838.537663,1000,990.050041
845.242809,1000,1000.504056
833.070568,1000,1011.211398
822.665727,1000,1021.05448
819.961791,1000,1031.505866
828.582717,1000,1041.95735
830.704411,1000,1051.756678
835.708415,1000,1062.267313
839.959892,1000,1072.679315
835.971845,1000,1082.459975
802.938335,1000,1092.859554
837.584361,1000,1103.309686
824.622743,1000,1113.082918
827.200894,1000,1123.577729
824.206168,1000,1133.993889
833.939442,1000,1143.99881
842.869804,1000,1154.570421
855.979726,1000,1164.918357
840.805322,1000,1175.025662
842.417796,1000,1186.00798
849.779785,1000,1196.328549
845.935054,1000,1206.606432
862.065425,1000,1217.852574
842.397047,1000,1228.317835
855.250104,1000,1238.434341
848.054889,1000,1249.216411
830.414995,1000,1259.192844
819.251029,1000,1269.386918
802.657749,1000,1280.163525
805.089271,1000,1289.906383
812.87779,1000,1300.211788
843.249097,1000,1310.885229
828.452174,1000,1320.711615
830.218676,1000,1331.060622
815.711574,1000,1341.688496
829.587017,1000,1351.62885
867.999068,1000,1362.010446
860.092043,1000,1372.479972
853.389711,1000,1382.268098
829.166421,1000,1391.217947
855.262899,1000,1401.821316
870.785366,1000,1411.574545
832.163419,1000,1422.134226
865.797785,1000,1432.455905
862.162251,1000,1442.412273
866.222551,1000,1453.077547
849.876706,1000,1463.414049
858.607875,1000,1473.229252
835.500064,1000,1483.966921
800.234447,1000,1494.190225
854.007451,1000,1504.124452
858.73608,1000,1514.978209
864.22259,1000,1525.140145
870.637421,1000,1535.293059
861.595746,1000,1545.948709
871.106791,1000,1556.110259
811.600118,1000,1566.121753
822.866037,1000,1577.029936
850.897652,1000,1587.031429
852.258866,1000,1597.334239
848.653648,1000,1608.277953
847.510474,1000,1618.242399
840.070482,1000,1628.511009
846.809802,1000,1639.25378
826.208617,1000,1649.16759
845.749772,1000,1659.46366
823.99801,1000,1670.14792
824.43476,1000,1680.006125
835.882826,1000,1690.421639
838.758768,1000,1700.990685
852.301026,1000,1710.87931
869.350879,1000,1721.404385
858.878435,1000,1731.894399
872.952637,1000,1741.828319
337.284305,1000,1752.634974
803.141306,1000,1763.193799
850.433478,1000,1773.179754
820.938582,1000,1784.099343
868.408297,1000,1794.565344
822.623885,1000,1804.996928
852.963886,1000,1815.77772
841.776606,1000,1825.919618
826.214837,1000,1835.955526
856.496507,1000,1846.805994
849.082295,1000,1857.09156
806.566466,1000,1867.191946
812.88416,1000,1878.044605
816.342395,1000,1888.067009
811.691579,1000,1898.375986
805.279911,1000,1909.182394
803.705168,1000,1919.069722
798.695879,1000,1929.455946
804.421153,1000,1940.074139
872.044674,1000,1949.918436
856.590423,1000,1960.454643
863.728542,1000,1971.753657
854.73035,1000,1982.029915
802.748654,1000,1993.037323
860.459919,1000,2004.114109
856.556162,1000,2014.142944
845.94057,1000,2024.998303
859.238247,1000,2035.325471
855.999479,1000,2045.433767
